corpus_id,source_file,term,file_total_count,row_no,context
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,黄帝,211,989,经》对天下某株桃树的描写：“东海郑暑度朔山，山上有大桃，屈蟠三千里。东北间，百鬼所出入也。上有二神人，一日神茶，二日郁垒，主领万鬼。恶害之鬼，执以苇索，以食虎。黄帝乃立大桃人于门户。画神茶、郁垒与虎、苇索，以御鬼。”《风俗通》也引《黄帝书》称：“上古之时，兄弟二人，日茶与、郁律，度朔山上桃树下简百鬼。鬼妄人，则援以苇索，执
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,黄帝,211,994,用黑瓦，取克火之意，因黑从水。五神即东方青龙、西方白虎、南方朱雀、北方玄武、中间勾陈或腾蛇。《周礼·天官·大宰》中说的是五帝：东方青帝灵威仰，南方赤帝赤怒，中央黄帝含枢纽，西方白帝白招拒，北方黑帝叶光纪。五帝也就是五神。 　　在人体方面，五行的体现也是多种情况，按照木、火、土、金、水的排列顺序，作为五脏来说，则是肝、心、脾
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,黄帝,211,1137,乐之情，在受到外物的触发下而有所感，于是运用诗歌表达出人的情志。基于这样的认识，刘阐述诗歌的起源，是从传说中远古帝王葛天氏的乐曲谈起：“葛天氏乐辞云，玄鸟在曲；黄帝云门，理不空绮。”从远古时代的歌舞情况，说明文学艺术是随着人类的产生而开始形成的。 　　第二，文学是不断发展变化的。在《传论》中沈约由文学艺术的产生进而又谈到了
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,黄帝,211,1154,礼的表层意思，礼的本意是要求人人都具备最大的恭敬心，因为祀祭的对象是“天地君亲师”。天地是阴阳，是宇宙，是自然方物生命之本；亲是父母乃至家族之祖、民族之祖，如炎黄帝之类，是人类血脉之本；君与师是社会的治理与教化之本，这是礼之三本。“天地者，生之本也。无天地恶生？无先祖恶出？无君师恶治？三者偏亡，则无安人。故礼，上事 　　天
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,共工,58,37,报的《当前失业问题因应对策计划》。根据该项计划，台当局在下年度内拨款新台币8.6亿多元，办理失业辅助相关措施。台“行政院”还决定在失业率明显下降之前，除了重大公共工程与重大投资案外，将不再增加引进外劳。 　　3.妥善运用财政政策，增进整体资金运用效益，修订“财政收支划分法”，积极推动政经改革，健全税制，深化财税功能。 　　
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,共工,58,72,一战线理论和实践的发展。 　　中共关于民族资产阶级的理论是统战线理论的重要内容。通过国民参政会，中共对民族资产阶级的认识更明确，更深刻了。国民参政会成立之初，中共工作的重点是跟国民党搞统战，而对民族资产阶级只进行了基本的分析。对民族资产阶级有了更明确、更深刻的认识，并形成系统的统战思想是在1939年至1940年。这一时期，
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,共工,58,117,金，地方财政债务水平普遍较高，由此可能带来的金 　　融风险已经引起中央政府的高度重视；另一方面，多年来地土出让金收人是地方政府主要收人来源，地方基础设施建设，公共工程与民生项自建设资金主要来源于地方土地出让金收入。2010年以来，中央政府加强了房地产调控力度，地方土地出让金收人增长趋缓，甚至出现下降的状况。显然，以目前地方
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,共工,58,276,签订的协议，如图书馆、消防、环保等。 　　*政府间和政府向非政府组织转移，即将一个政府的职责长期转让给另一个政府、私营机构或非营利组织。职责转移的领域多体现在公共工程和设施、卫生和福利等方面。 　　在微观层面上，就涉及到城市当中的公民组织和社区治理。美国学者研究认为，与由相对数量较少的大型政府治理的都市相比，数量较多的小型
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,共工,58,1578,王权的战争就成了历史的必然，“辟土以王”则是其真实写照。所以，自黄帝以来，“天下有不顺者，…征之，平者去之。”③酿成了一连串的战争。禹时，经过激烈的战斗，征服了共工、三苗、曹魏戎、屈整等部落联盟或部落之后，地盘扩大了，奴隶和其他财物增加了，权力也加大了，更加刺激了禹的胃口，禹便企图使其邻近的有扈氏称臣纳贡，听从其摆布，有扈
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,帝鸿,1,4871,羲 　　氏、女娲氏、共工氏、容成氏、大廷氏、柏皇氏、中央氏、栗陆氏、骊连氏、赫胥氏、尊卢氏、沌浑氏、昊英氏、有巢氏、朱襄氏、葛天氏、阴康氏、亡（无)怀氏东扈氏、帝鸿氏，到炎帝神农氏，中间还有列山氏归臧氏，到黄帝轩辕氏。以后是基本统一的少昊帝金天氏、颛项帝高阳氏、帝善高辛氏和帝尧陶唐氏、帝舜有虞氏、帝禹夏后氏。而地理志中还言
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,少昊,11,1666,"与炎帝于坂泉之野，三然后得其志。这是尤与黄帝作及二帝用师以相济雨神话混淆而成的。周书之怡舆这相反。周书： 　　昔天之初口作二后乃建设典命。赤帝分正二卿命量尤于宇少昊以四方司口口上天莫成之魔。童尤乃逐帝争于涿鹿之河,九隅无遣，赤帝大。乃于黄帝，执蜜尤毅之于中冀。 　　赵简子疾五日不知人。大夫皆。医扁鹊视之,出。董安于间。扁日"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,少昊,11,3100,公已下献镜及承露囊，天下诸州咸令宴乐，则全文收录了张说的清以八月五日为千秋节表》 　　左丞相臣说、右丞相臣璟等言：臣闻圣人出则日月记其初，王泽深则风俗传其后。故少昊着流虹之感，商汤本玄鸟之命；孟夏有佛生之供，仲春修道祖之篆。追始寻源，其义一也。伏惟开元神武皇帝陛下二气含神，九龙浴圣，清明总于玉露，爽朗冠于金天。月惟仲秋，日
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,少昊,11,3546,扰)”，顺时序不受扰乱。古人认为阴阳和，风雨顺时，人无疾厉，天下则安宁。《容成氏》日：“疫不至，妖祥不行，祸灾去亡，禽兽肥大，卉木晋长。”(第16简) 　　相传少昊氏之衰、由于神历和民历互相杂，史称“九黎乱德”、《国语·楚语》记载观射父对楚昭王说：“少昊之衰也，九黎乱德，民神杂，不可方物颛项受之，乃命南正重司天以属神，火正
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,少昊,11,4871,用数 　　字。根据史书记载和考古发现，作书契以代替结绳纪事，画八卦以创数都与伏羲有关。 　　《左传·昭公十五年》记载：“秋，郑子来朝，公与之宴。昭子问焉，曰：“少昊氏鸟名官，何故也？子曰：‘吾祖也，我知之。昔者黄帝氏以云纪，故为云师而云名。炎帝氏以火纪，故为火师而火名。共工氏以水纪，故为水师而水名。太昊氏以龙纪故为龙师而龙
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,少昊,11,7407,家诗人青睐，也为读者普遍认同。地名如：玉山、丹山、荆山、、昆仑、流沙、赤水、蓬莱、潇湘、洞庭、大荒等;人名如：西王母、形天、嫦娥、江妃、夸父、祝融、羲和、冰夷、少昊等;鸟兽名如：封豕、长蛇、青鸟、玄鸟、白鹿、乘黄、精卫、天马、鸾鸟、凤凰、烛龙、囊驼等。这些名物的诗化、文学化有一个发展过程。如西王母与青鸟，最初在《山海经》的
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,太昊,17,3087,"广弘明集》卷五引沈约《均圣论》，大正藏本作“炎昊”，对应经文为：“炎昊之世，未火未粒，肉食皮衣，仁侧之事，弗萌怀抱。”（t52p121c)“炎昊""即炎帝神农氏和太昊伏羲氏，二人皆是传说中的古代部落首领，炎昊之世即指上古之世。此句大意为，上古时代，由于人们不会用火，也不会耕作，于是茹毛饮血，以兽皮为衣，因此也就谈不上有什么仁"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,太昊,17,4871,"作结绳而为网置，以佃以渔，盖取诸离。包牺氏没，神农氏作.……神农氏没，黄帝、尧、舜氏作。""由此可知，八卦始于包牺（即伏羲），伏羲早于神农和黄帝。华夏初祖为伏羲（太昊)，还见于上古典籍《尚书·大传》：“遂人为遂皇，伏羲为戏皇，神农为农皇………·伏羲以人事纪”，《礼·号谥记》：“伏羲、祝融、神农”，《礼·月令》：孟春之月“其帝"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,九黎,5,1666,"以生柔嘉材者也。在春秋时代,介于楚二强之间。史伯受了楚族神话的影警。他以为楚将代周，是亲楚主羲者。他所舆楚观射父所说相同。观射父重黎的神话道： 　　少蝗之衰也,九黎德。民神,不可方物。夫人作享家为巫史、·蒸享无度民神同位。受之乃命南正重司天以鹰神命火正黎司地以鹰民。使复旧常，无相侵是地天通。其后三苗复九黎之德复育重黎之后不"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,九黎,5,3546,风雨顺时，人无疾厉，天下则安宁。《容成氏》日：“疫不至，妖祥不行，祸灾去亡，禽兽肥大，卉木晋长。”(第16简) 　　相传少昊氏之衰、由于神历和民历互相杂，史称“九黎乱德”、《国语·楚语》记载观射父对楚昭王说：“少昊之衰也，九黎乱德，民神杂，不可方物颛项受之，乃命南正重司天以属神，火正黎司地属民。”于是尧命羲氏、和氏执掌历象
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,九黎,5,4519,"次，开发者往往忽视对湘西深厚的饮食文化传统的发扬，湘西少数民族的饮食习俗有着悠久的历史背景，蕴藏了深厚的文化背景，如：土家族是古代巴人后裔，苗族源于黄帝时期的“九黎”，尧舜时期的“三苗”5]，湘西苗族就是其迁徙过程中发展出来的一个分支，饱受迁徙之苦，由此其饮食习俗就包含了许多的历史传统,影响着苗族的祖祖辈辈。 　　因此，饮"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,蚩尤,72,3247,"米开外看戏,因为嫌弃他们身上有很重的盐卤味儿。刘则亭老人讲述的1000多则故事中,有一些故事很值得我们关注。比如在他的故事中,女娲补天是在船上进行的,炎黄二帝战蚩尤时炎帝的手指变成了船桅杆等等。渔雁故事中的一些主角竟都是中原农耕神话中赫赫有名的大神,但在渔雁故事中,这些大神却都成了“渔雁”文明中许多器物的发明者。对于这些故"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,蚩尤,72,5231,"道古剑,是由众神采首山之铜所铸,黄金色的千年古剑,剑身一面刻日月星辰,一面刻山川草木;剑柄一面书农耕畜养之术,一面书四海一统之策。传说是天界诸神赐于轩辕黄帝击败蚩尤的旷世神剑,其内蕴藏着无穷的力量,为斩妖除魔的神剑。天界诸神将此剑赐予轩辕黄帝击败蚩尤之旷世神剑。此剑后传与夏禹,大禹治水时立下汗马功劳,夏朝凭此立国。几百年后"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,蚩尤,72,6931,"抗战时期的满门英烈,远的的有封神年代哪咤父子同殿称臣。再往上追溯的话还有炎帝的女儿精卫填海。和炎帝并列为华夏之祖的黄帝也有一个女儿,她叫女魃。据《山海经》描写,蚩尤起兵攻打黄帝,黄帝令应龙进攻冀州。蚩尤请来风伯雨师,以狂风骤雨对付应龙部队。于是,黄帝令女魃助战,女魃阻止了大雨,最终助黄帝赢得战争。但是立下大功的女魃却没有得"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,蚩尤,72,13888,"统领,祖巫陨落之后就由第二代大巫统帅巫族,他们在龙伯群山之中寻找到一处巨大的峡谷作为巫族遗民的最后居留地。巫族自从巫异大战之后就分为青巫和赤巫两个部分,后赤巫在蚩尤的率领下与黄帝大战而消失,目前只剩下一部分青巫。巫族对领导者尊崇爱戴、真心服从,同胞之间各自友爱相商,各自相安。龙伯巫族:自古以来都是巫族的家园和老巢,虽几经战"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,蚩尤,72,13960,"对这种状况,太一发动了东皇钟秘法,一击之下使得归墟山脊塌陷而成峡谷,形成九嶷山,玄冥和天吴两大祖巫身死,无数巫众和天龙人都被击杀。165年冬,黄帝于九嶷之巅剑斩蚩尤,人巫大战结束,赤巫一脉被灭。瀛洲东岸的滩地之上有一座青光流转的巨大墓冢,名叫“巫冢”,是巫族的力量源泉所在。启动巫族秘法“巫神祭”的始源之力来自于此。位于异洲"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,炎帝,86,3247,"看戏,因为嫌弃他们身上有很重的盐卤味儿。刘则亭老人讲述的1000多则故事中,有一些故事很值得我们关注。比如在他的故事中,女娲补天是在船上进行的,炎黄二帝战蚩尤时炎帝的手指变成了船桅杆等等。渔雁故事中的一些主角竟都是中原农耕神话中赫赫有名的大神,但在渔雁故事中,这些大神却都成了“渔雁”文明中许多器物的发明者。对于这些故事的隐"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,炎帝,86,5231,"后原因不明,失落在人间,无人知晓其下落。【崆峒印】太上老君所有,神话传说中的人族第一至宝。印玺之上有九龙交纽,印座四面有五方天帝圣容(东方天帝太昊伏羲、南方天帝炎帝神农、西方天帝少昊玄嚣、北方天帝颛顼高阳、中央天帝黄帝轩辕),印玺下有大道符箓——“崆峒”二字。执掌此印,便可废立人皇。上古时期,为三皇五帝执掌。夏启建立夏朝,"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,炎帝,86,6931,"败家子,只不过达官显贵更加受人关注罢了。历史上的二代们干出惊天动地事迹的也有不少,近的有抗战时期的满门英烈,远的的有封神年代哪咤父子同殿称臣。再往上追溯的话还有炎帝的女儿精卫填海。和炎帝并列为华夏之祖的黄帝也有一个女儿,她叫女魃。据《山海经》描写,蚩尤起兵攻打黄帝,黄帝令应龙进攻冀州。蚩尤请来风伯雨师,以狂风骤雨对付应龙部"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,炎帝,86,7148,"杂篇·渔父第三十一》“孔子游于缁帏之林,休坐乎杏坛之上。弟子读书,孔子弦歌鼓琴。”后泛指聚众讲学的场所,引申为学校教育或教育界。4.炎黄衣钵:代指农业。历史上,炎帝与黄帝被看作是农业始祖。5.命立生民:源自北宋大家张载“为天地立心,为生民立命,为往圣继绝学,为万世开太平”。6.铁肩道义:出自明代杨继盛《杨忠愍公集》中的一副"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,炎帝,86,8482,"山鬼,是以输出为取向的SSR妖灵,除了常规的攻击还能触发额外的伤害,且还会提升会心利用率喔!这次也同步释出了“仪眼万年”的新造型,要来满足大人们的视觉飨宴。曾是炎帝之女的瑶姬,因体弱多病,幼年便离开了人世,死后被炎帝葬于巫山仙草繁茂处,神魂寄于仙草灵芝,共生幻化成妖;瑶姬化灵再生后,得到灵芝的滋养,原本虚弱的体质得到改善,"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,赤帝,14,8333,"帜宣布起义。邦在押运人伕期间遇上大白蛇拦路,邦眼见逃生无门,只好劝喻人伕离去,而自己则痛饮发泄。邦带醉下斩杀大白蛇,雉遂借此事为邦制造神话造势,指邦是天命所归的赤帝子来斩杀白帝子化身的大白蛇,更宣称这是起义的预兆,众人伕信以为真,纷纷拥邦起义。邦宣布起义,何、哙等决心追随。羽起义后随即四出招揽人才,他以足智多谋的陈平为谋士"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,赤帝,14,42141,"兄和弟,俎豆千秋帝与王。气挟风雷无匹敌,志垂日月有光芒。至今庙貌盈天下,古木寒鸦几夕阳。”显灵之后又有:后人题一联于其庙云:“赤面秉赤心、骑赤兔追风,驰驱时无忘赤帝,青灯观青史、仗青龙偃月,隐微处不愧青天。”后人有诗曰:常山有虎将,智勇匹关张:汉水功勋在,当阳姓字鄣。两番扶幼主,一念答先皇。青史书忠烈,应流百世芳。后人有《"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,赤帝,14,55578,"要:脚底板宽有黑痣与历史使命之间的联系最先载于张守节的著作《史记正义》,这本书中援引《合诚图》中的纬学谜样思想,对刘邦这位汉代开国国君的容貌展开了神秘化的叙述,赤帝体为朱乌,其表格龙颜,多黑子。这里的赤帝说道的就是斩杀白蛇的刘邦。从汉代开始,黑痣和权贵就结为了不解之缘,这种说明方法在民间相术中最为兴盛,敦煌可知的唐代或稍早"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,赤帝,14,59535,"5万;金鳞橙内饰配色的超长续航版尊贵型售价为25.98万元,四驱高性能版旗舰型售价为27.95万。此前,汉EV车型提供了四种车身颜色:玄空黑、时光灰、雪域白以及赤帝红,内饰颜色为三种:麒麟棕、朱雀红以及苍穹灰。外观方面,新增车型的造型设计没有变化,继续延续了比亚迪DragonFace的家族式设计语言,蓝色的车身看上去更加具"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,赤帝,14,74820,"那是大离太祖赤帝开国之剑,被大离帝王所掌御之时,剑中有山河日月,浓缩其中。但赤霄剑的剑含一界,依旧是要与九州交感,是九州的映照缩影,那剑中的山河日月,与现世之中的一般无二。所以"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,黄帝,453,15,"中医药学会暨中医院校海外校友会大会并做演讲发言。2019年11月-12月,2020年1月,举办两期古典针术六讲研习班,推广本人独创的以经典为依据的针灸方法。精研黄帝内经等中医古籍,并有文章《灵枢治疗经筋病的方法—燔针劫刺》发表在中国针灸杂志2012年第11期。"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,黄帝,453,87,"友们,多吃些艮卦的食物就是最适合你们的保健方式了。胃是人体的六腑之一,它对应八卦中的艮卦,与脾相表里,功能强弱直接影响人的生存质量,因而又被称为“后天之本”。《黄帝内经》上说,胃是“仓廪之官”,因为它掌管着食物的“受纳与腐熟”,并主通降。“受纳”是接受和容纳的意思,“腐熟”是指食物经过胃的初步消化,形成食糜。我们每天吃下的"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,黄帝,453,446,"解释呢?关于帝的问题。文中“帝”字出现了四次,这四个“帝”当是同一个人,但学界对此观点不一,有的认为拥有息壤的帝与杀鲧的帝不是同一人,比如袁珂认为拥有息壤的帝是黄帝,“据上文‘黄帝生骆明,骆明生白马,白马是为鲧’则此帝自应是黄帝”[2]536。而郭世谦则认为“此则谓天帝也”[7]745。无论是黄帝还是天帝,总之不是杀鲧的帝"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,黄帝,453,1013,"有声悦耳。你听说过孔子击磬养生吧,那个磬用的就是砭石。石代用的乐器――编钟,有很多就是用砭石做的。砭石不仅可以做乐器养生,还能用来给人治病。砭石治病多次出现在《黄帝内经》里。用砭石来刮痧,甚至可以不用刮痧油,这是它和普通的刮痧板的一个很重要的区别。砭与针、灸、药等,是中医治病体系里的重要组成部分,砭术甚至被称为中医治病之祖"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,黄帝,453,1836,"运太过,克制心火,因此心阳虚衰。如果阳气外泄,则心阳空虚,寒气趁虚而入,易导致心痛、心咳之证。“心咳之状,咳则心痛,喉中介介如梗状,甚则咽肿喉痹。”这段话摘自《黄帝内经·素问·咳论》。原文是讲黄帝请教岐伯:肺循环系统失衡了,人就会咳嗽对吗?这是什么原因呢?岐伯说:五脏六腑失衡都能使人咳嗽,不单单是肺病如此。黄帝一听很好奇,"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,共工,165,238,:“与气候条件密切相关的下列规划和建设项目应当进行气候可行性论证:(一)城市规划或者重大区域发展规划;(二)跨区域调水、输电、能源、石化、机场等重大基础设施、公共工程和大型工程建设项目;(三)重大区域性经济开发、区域农业结构调整建设项目;(四)大型太阳能、风能等气候资源开发利用建设项目;(五)其他依法应当进行气候可行性论证
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,共工,165,446,"中“息壤”与“帝”的所指并不清楚,而对“鲧�蜕�禹”的解释也莫衷一是。实际上,羿、尧、舜、禹等人物属于太阳神系列,嫦娥、女娲、娥皇、女英等则属于月神系列,而鲧、共工、蓬蒙、吴刚属于雷神系列。日神、月神、雷神三方的关系以日神和雷神的矛盾为主线,以月神与雷神的关系为辅线。月神系列不仅具有人格化的特点,还有物化的特点,表现为息壤"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,共工,165,7049,"安哥拉通讯社报导,安哥拉公共工程和土地规划部长曼努埃尔・塔瓦雷斯・德阿尔梅达(Manuel Tavares de Almeida)周二正式批出安哥拉东部230国家公路的修复项目。五份工程合同"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,共工,165,9657,"方向或搜证困境,对于此问题之解决,法务部所属司法官训练所每年定期开办各种在职专业进修课程,或与专业机关合作,开办训练课程,如针对经济犯罪、证券交易、环保公害、公共工程及BOT等,随时根据时事、犯罪趋势提供最新的训练内容。"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,共工,165,10192,"只见不远处的半空中,一道迷人的身影,快速飞来。远远看去,一身浅蓝色长裙,在微风吹送下,紧致曼妙的曲线,时隐时现,而那精致绝美的五官,透著几分不容亵渎的气场。正是共工!看到共工,岳风瞬间警惕起来,禁不住倒吸一口冷气。尼玛,这个女人怎么忽然来了?难道,杨戬出尔反尔,不打算停战,还要继续打?就在岳风暗暗思索的时候,共工翩然降落,"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,帝鸿,1,53781,"满幻象的人鸟合体意象入手,重新解读良渚文化人鸟合体神徽和河姆渡文化“双鸟朝阳”意象,发掘潜含在长三角史前文化鸟崇拜中的创世鸟观念,并贯通阐发古文献《山海经》神鸟帝鸿神话的创世观,强调萨满幻象作为催生神话想象的第三重证据,其对神话的文献叙事(一、二重证据)和文物图像叙事(四重证据)的再语境化作用,提炼为“激活”作用论。199"
GCI-HOLD-0002,data__CASIA-LM_ChineseWebText2.0_partial-001553.parquet,少昊,25,5186,"22日早8点,孔庙大成殿前将举行奥运圣火展示、起跑仪式,火炬传递将从明故城仰圣门(万仞宫墙)出发,经过神道路,距今3000年的鲁国故城遗址,距今四五千年的寿丘、少昊陵,最终到达孔子列国行青铜群雕。路线全长5.1公里,传递活动约1小时40分钟。这条线路涉及的历史名人有孔子、周公、鲁班、轩辕黄帝、少昊帝等古圣先贤,是一条穿越了"
